# Pathway	FF05293354_Coverage
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0.5587600115
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.0000000000
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)|unclassified	0.0000000000
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)	0.0000000000
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome)|unclassified	0.0000000000
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	0.0000000000
PWY-5659: GDP-mannose biosynthesis	0.0000000000
PWY1ZNC-1: assimilatory sulfate reduction IV	0.0000000000
PWY1ZNC-1: assimilatory sulfate reduction IV|unclassified	0.0000000000
SO4ASSIM-PWY: assimilatory sulfate reduction I	0.0000000000
SO4ASSIM-PWY: assimilatory sulfate reduction I|unclassified	0.0000000000
